,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate
Buy & Hold,0.40136604869225967,0.4109754776747001,0.23648873321453612,1.569069157608025,2.2846361478434707,-0.1376140375406334,1.0
ML Signal,0.07544250380963557,0.0770277212158832,0.05302672966607904,1.4198004221835505,0.0,0.0,1.0
